Year-Month,Date,Values
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,1378.97
2022-03,23.03.2022,1378.97
2022-03,23.03.2022,1378.97
2022-03,23.03.2022,1378.97
2022-03,23.03.2022,1378.97
2022-03,23.03.2022,1378.97
2022-03,23.03.2022,1378.97
2022-03,23.03.2022,1378.97
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,2646.25
2022-03,23.03.2022,1378.97
2022-03,24.03.2022,1378.97
2022-03,24.03.2022,1378.97
2022-03,24.03.2022,1378.97
2022-03,24.03.2022,1378.97
2022-03,24.03.2022,1378.97
2022-03,24.03.2022,1378.97
2022-03,24.03.2022,1378.97
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,2646.25
2022-03,24.03.2022,1378.97
2022-03,25.03.2022,1378.97
2022-03,25.03.2022,1378.97
2022-03,25.03.2022,1378.97
2022-03,25.03.2022,1378.97
2022-03,25.03.2022,1378.97
2022-03,25.03.2022,1378.97
2022-03,25.03.2022,1378.97
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,2646.25
2022-03,25.03.2022,1378.97
2022-03,26.03.2022,1378.97
2022-03,26.03.2022,1378.97
2022-03,26.03.2022,1378.97
2022-03,26.03.2022,1378.97
2022-03,26.03.2022,1378.97
2022-03,26.03.2022,1378.97
2022-03,26.03.2022,1378.97
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,2646.25
2022-03,26.03.2022,1378.97
2022-03,27.03.2022,1378.97
2022-03,27.03.2022,1378.97
2022-03,27.03.2022,1378.97
2022-03,27.03.2022,1378.97
2022-03,27.03.2022,1378.97
2022-03,27.03.2022,1378.97
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,2646.25
2022-03,27.03.2022,1378.97
2022-03,28.03.2022,1378.97
2022-03,28.03.2022,1378.97
2022-03,28.03.2022,1378.97
2022-03,28.03.2022,1378.97
2022-03,28.03.2022,1378.97
2022-03,28.03.2022,1378.97
2022-03,28.03.2022,1378.97
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
2022-03,28.03.2022,2646.25
